product_id,product_name,category,variety,package_size,unit,price,preferred_season
BUT_LG,Butter (Block),Butter,Classic,.075,kg,8,All
BUT_SM,Butter (Stick) ,Butter,Classic,.25,kg,8,All
CHS_MAT,Sharp Cheese,Cheese,Mature,.3,kg,8,All
CHS_MLD,Mild Cheese,Cheese,Mild,.3,kg,8,All
YOG_Q,Yogurt (Quart),Yogurt,Classic,1,Quart,4,All
YOG_C,Yogurt (Cup),Yogurt,Classic,1,Cup,4,Summer
ICE_VAN_Q,Vanilla Ice Cream (Quart),Ice Cream,Vanilla,1,Quart,6,Summer
ICE_VAN_C,Vanilla Ice Cream (Cup),Ice Cream,Vanilla,1,Cup,3,Summer
ICE_CHOC_Q,Chocolate Ice Cream (Quart),Ice Cream, Chocolate,1,Quart,6,Summer
ICE_CHOC_C, Chocolate Ice Cream (Cup),Ice Cream, Chocolate,1,Cup,3,Summer
ICE_STRW_Q,Strawberry Ice Cream (Quart),Ice Cream, Strawberry,1,Quart,6,Summer
ICE_STRW_C, Strawberry Ice Cream (Cup),Ice Cream, Strawberry,1,Cup,3,Summer
ICE_MOC_Q,Mocha Ice Cream (Quart),Ice Cream, Mocha,1,Quart,6,Summer
ICE_MOC_C, Mocha Ice Cream (Cup),Ice Cream, Mocha,1,Cup,3,Summer
JAM_BLK, Blackberry Jam, Jam, Blackberry, 1, Jar, 5,Fall
JAM_RAZ, Raspberry Jam, Jam, Raspberry, 1, Jar, 5,Fall






